Study_Hours,Attendance,Previous_Marks,Result
5.6,96.5,74.6,1
2.8,54.1,41.0,0
6.6,85.2,81.0,1
7.0,69.7,57.7,1
1.0,73.2,42.1,0
2.3,60.3,53.0,0
5.3,69.7,66.9,1
4.3,90.9,68.3,1
5.0,81.6,45.7,1
3.2,96.5,68.1,1
6.8,89.3,60.0,1
6.6,79.7,68.7,1
5.1,96.7,53.9,1
7.4,79.7,73.1,1
6.0,84.8,58.4,1
3.2,70.1,40.7,0
5.8,74.9,69.6,1
3.0,64.9,53.5,0
6.8,86.9,63.3,1
4.9,58.7,68.8,0
4.6,84.2,57.9,1
3.6,71.5,55.4,0
7.6,89.2,75.2,1
4.7,83.8,56.3,1
4.1,97.7,70.4,1
4.3,83.5,55.9,1
6.1,53.6,51.7,0
5.8,73.1,75.5,1
5.9,58.8,46.7,0
5.9,67.3,35.9,0
9.5,93.6,95.5,1
4.1,82.3,85.8,1
3.9,64.9,49.6,0
3.3,60.8,31.2,0
6.3,74.4,60.6,1
7.4,58.2,58.2,1
4.8,65.3,54.4,0
3.2,78.1,45.2,0
3.3,89.0,66.2,1
6.4,81.9,71.8,1
6.6,44.2,39.0,0
6.1,78.0,71.4,1
3.6,74.9,76.8,1
5.5,79.4,64.9,1
5.2,95.0,64.4,1
5.5,47.2,50.5,0
6.8,66.3,68.4,1
5.5,81.7,46.7,0
6.4,53.4,58.3,0
5.1,93.2,63.0,1
5.6,78.8,81.7,1
6.3,85.0,65.6,1
1.9,66.6,65.3,0
4.3,84.6,50.6,0
4.0,87.9,67.8,1
3.7,77.0,60.5,1
4.4,77.0,50.6,0
8.1,77.5,71.6,1
3.2,62.8,63.1,0
7.0,72.1,61.6,1
1.5,72.0,32.5,0
4.3,79.0,59.5,1
5.3,87.0,56.3,1
6.2,60.2,55.0,0
6.5,72.4,62.7,1
6.7,93.3,54.4,1
4.3,64.3,38.4,0
4.0,63.3,58.2,0
6.8,76.6,60.6,1
4.6,85.0,37.0,0
2.3,74.1,60.2,0
2.6,91.3,62.0,1
3.1,85.1,51.3,0
6.0,84.9,53.3,1
5.3,81.2,71.6,1
6.5,98.0,76.0,1
4.1,71.3,80.3,1
5.3,48.0,55.8,0
6.3,94.9,74.7,1
4.4,68.0,54.5,0
6.0,75.4,71.4,1
3.6,91.0,68.2,1
4.2,53.2,62.9,0
4.2,57.7,46.7,0
2.5,53.2,41.3,0
6.0,63.7,54.3,0
4.0,79.7,67.0,0
5.0,80.8,77.3,1
6.0,77.6,59.4,1
5.9,55.6,51.7,0
6.4,44.0,56.5,0
4.8,74.7,57.1,1
4.1,67.9,64.8,1
4.8,80.0,38.9,1
1.5,83.1,45.0,0
2.0,75.8,44.3,0
2.2,83.9,32.3,0
2.9,77.0,45.4,0
5.8,80.9,55.4,1
3.1,64.8,49.3,0
4.2,71.7,68.0,1
7.7,76.6,65.9,1
4.3,84.7,51.4,0
6.5,68.9,61.7,1
3.0,80.8,67.2,1
4.6,70.5,47.8,0
3.0,72.5,44.7,0
4.3,84.8,67.3,1
6.8,48.1,53.7,0
1.4,57.1,50.4,0
5.9,54.7,55.5,0
5.5,43.7,57.7,0
3.8,65.2,43.1,0
2.0,83.7,54.8,0
5.2,70.3,57.1,0
3.9,76.6,45.6,0
5.5,88.2,50.6,1
5.0,91.3,72.8,1
8.4,73.1,65.6,1
4.5,91.6,54.4,1
2.9,75.2,53.5,0
5.4,63.1,68.5,1
5.5,66.3,35.8,0
7.9,54.8,46.3,0
6.8,62.5,51.7,0
5.7,69.3,74.8,1
8.1,84.4,75.0,1
2.5,96.4,68.4,1
3.7,56.0,38.6,0
3.1,79.1,45.2,0
4.2,60.5,57.4,0
2.1,80.2,54.5,0
6.3,72.3,68.4,1
4.5,50.2,48.3,0
1.9,86.1,58.2,0
2.9,66.1,52.8,0
5.7,67.1,67.2,1
6.8,60.1,68.1,1
9.2,65.5,52.5,1
11.0,79.6,56.2,1
5.9,71.5,71.6,1
2.9,78.3,67.4,1
1.0,78.7,40.1,0
5.6,91.2,49.0,1
